STATION,DATE,MLY-PRCP-NORMAL,MLY-SNOW-NORMAL,MLY-TAVG-NORMAL,MLY-TMAX-NORMAL,MLY-TMIN-NORMAL
USW00014944,1,0.60,8.0,17.9,27.2,8.5
USW00014944,2,0.83,8.6,22.3,32.0,12.6
USW00014944,3,1.60,7.2,34.7,45.0,24.3
USW00014944,4,3.00,5.1,47.2,59.0,35.5
USW00014944,5,3.86,0.1,59.1,70.8,47.5
USW00014944,6,4.23,0.0,69.9,80.9,58.8
USW00014944,7,3.25,0.0,74.4,85.3,63.4
USW00014944,8,3.34,0.0,72.0,82.8,61.1
USW00014944,9,2.73,0.0,63.8,75.6,51.9
USW00014944,10,2.36,1.4,49.6,61.1,38.1
USW00014944,11,1.22,6.2,34.8,45.0,24.5
USW00014944,12,0.83,8.7,22.5,31.6,13.4